ID,Ingreso,Compras_Mensuales,Gasto_Por_Compra,Productos_Por_Compra,Beneficios,,,,
1004138,79096.61,1,3282.36,51,20%,,,,
1004139,74209.96,5,4301.04,49,20%,,,,
1004140,80115,3,2987.6,39,20%,,,,
1004141,71915.9,4,3302.28,55,20%,,,,
1004142,74144.98,4,2999.62,69,20%,,,,
1004143,74016.8,1,2930.5,53,20%,,,,
1004144,81478.21,12,3515.42,50,20%,,,,
1004145,77677.65,5,3424.97,73,20%,,,,
1004146,75822.53,14,3891.97,52,20%,,,,
1004147,81993.4,9,3444.82,63,20%,,,,
1004148,74209.9,7,3252.89,38,20%,,,,
1004149,71863.01,9,2388.8,54,0%,,,,
1004150,79353.22,6,2809.54,49,20%,,,,
1004151,74982.72,10,2554.81,66,0%,,,,
1004152,77230.02,10,2703.19,47,20%,,,,
1004153,71337.35,6,3090.71,66,20%,,,,
1004154,76226.86,6,3239.54,69,20%,,,,
1004155,75126.79,7,2774.91,59,20%,,,,
1004156,76756.42,10,3358.44,51,20%,,,,
1004157,74115.58,5,3473.74,38,20%,,,,
1004158,70942.68,4,3107.1,57,20%,,,,
1004159,78896.71,11,2811.69,53,20%,,,,
1004160,73335.76,5,2458.3,83,0%,,,,
1004161,77641.05,3,3095.18,51,20%,,,,
1004162,71574.22,3,2764.74,85,20%,,,,
1004163,66551.99,7,2598.68,45,0%,,,,
1004164,80286.22,8,3482.93,51,20%,,,,
1004165,68384.38,6,4169.1,65,20%,,,,
1004166,71434.01,10,3811.09,49,20%,,,,
1004167,70165.86,6,4347.3,57,20%,,,,
1004168,72791.07,8,3424.75,65,20%,,,,
1004169,73478.03,11,3172.64,48,20%,,,,
1004170,80269.32,5,3930.32,64,20%,,,,
1004171,78651.67,11,3229.66,59,20%,,,,
1004172,70587.84,6,3224.19,89,20%,,,,
1004173,68126.18,9,3277.74,60,20%,,,,
1004174,77790.79,10,2666.65,59,0%,,,,
1004175,75174.1,11,2549.37,64,0%,,,,
1004176,79641.54,9,3708.07,86,20%,,,,
1004177,75079.61,8,2706.6,45,20%,,,,
1004178,80112.61,3,3166.05,60,20%,,,,
1004179,73459.12,4,3201.47,73,20%,,,,
1004180,75581.15,10,3440.91,40,20%,,,,
1004181,72880.72,10,2296.91,50,0%,,,,
1004182,76865.77,7,2187.67,52,0%,,,,
1004183,74092.4,5,3473.4,43,20%,,,,
1004184,78417.84,7,3158.71,59,20%,,,,
1004185,76843.15,9,3423.47,71,20%,,,,
1004186,72924.54,5,3048.22,66,20%,,,,
1004187,75755.04,2,3330.15,66,20%,,,,
1004188,73774.83,8,3045.81,63,20%,,,,
1004189,67499.24,8,2505.19,58,0%,,,,
1004190,74137.38,7,3395.9,70,20%,,,,
1004191,71910.43,4,3391.87,49,20%,,,,
1004192,69761.04,7,3588.35,81,20%,,,,
1004193,72810.17,6,2968.55,62,20%,,,,
1004194,75381.5,4,4221.49,62,20%,,,,
1004195,81027.05,7,3641.23,65,20%,,,,
1004196,80248.62,5,3541.25,69,20%,,,,
1004197,72962.42,1,4109.69,56,20%,,,,
1004198,76094.22,1,3248.6,58,20%,,,,
1004199,72877.39,7,2873.8,56,20%,,,,
1004200,82680.69,4,2928.87,35,20%,,,,
1004201,79310.38,7,3922.79,63,20%,,,,
1004202,75913.52,8,2918.3,32,20%,,,,
1004203,71447.07,13,3245.48,52,20%,,,,
1004204,73408.17,8,3898.8,40,20%,,,,
1004205,77946.54,7,3039.86,55,20%,,,,
1004206,72083.01,10,3133.84,63,20%,,,,
1004207,76967.88,6,3324.89,59,20%,,,,
1004208,69946.16,4,3437.63,81,20%,,,,
1004209,81185.78,4,3927.37,74,20%,,,,
1004210,73072.92,10,3022.72,49,20%,,,,
1004211,76212.96,10,3545.99,75,20%,,,,
1004212,69265.22,9,3798.87,69,20%,,,,
1004213,74008.82,9,3476.88,66,20%,,,,
1004214,82977.37,9,2709.28,51,20%,,,,
1004215,78588.33,6,4224.67,51,20%,,,,
1004216,75678.37,15,3031.12,56,20%,,,,
1004217,69834.62,11,3564.93,56,20%,,,,
1004218,82529.6,6,2548.74,77,0%,,,,
1004219,73771.21,8,3704.07,64,20%,,,,
1004220,77205.47,7,2858.21,67,20%,,,,
1004221,76956.63,3,2802.68,74,20%,,,,
1004222,77794.94,7,3396.85,50,20%,,,,
1004223,76579.2,8,3905.5,68,20%,,,,
1004224,73361.81,3,3782.78,66,20%,,,,
1004225,74389.02,6,3691.54,47,20%,,,,
1004226,72228.87,8,3045.94,73,20%,,,,
1004227,80842.62,7,3520.13,55,20%,,,,
1004228,72991.96,7,2887.66,71,20%,,,,
1004229,71556.07,8,3206.68,66,20%,,,,
1004230,75920.91,8,3822.86,68,20%,,,,
1004231,73210.07,7,4222.59,51,20%,,,,
1004232,74513.33,6,3220.08,62,20%,,,,
1004233,76346.72,9,3306.15,54,20%,,,,
1004234,72841.97,3,2863.6,54,20%,,,,
1004235,77083.94,10,2515.09,75,0%,,,,
1004236,78265.5,14,3188.84,63,20%,,,,
1004237,78218.08,6,2842.64,62,20%,,,,
1004238,76075.75,7,2352.12,62,0%,,,,
1004239,79405.68,10,3580.85,54,20%,,,,
1004240,70205.26,5,2887.49,52,20%,,,,
1004241,71615.31,5,2695.83,67,20%,,,,
1004242,74762.64,5,3546.45,64,20%,,,,
1004243,70294.79,3,3292.04,42,20%,,,,
1004244,75354.36,5,3220.31,57,20%,,,,
1004245,77614.72,5,2746.9,62,20%,,,,
1004246,73564.11,3,3620.23,37,20%,,,,
1004247,76604.79,4,2218.9,56,0%,,,,
1004248,75598.09,5,2899.18,59,20%,,,,
1004249,67215.17,8,2946.92,59,20%,,,,
1004250,76613.14,10,3569.13,67,20%,,,,
1004251,75764.39,8,2669.8,57,0%,,,,
1004252,68781.63,8,3073.38,66,20%,,,,
1004253,74616.93,5,2903.95,62,20%,,,,
1004254,75908.42,11,2223.33,47,0%,,,,
1004255,70790.67,12,2942.99,58,20%,,,,
1004256,70381.11,10,3414.02,49,20%,,,,
1004257,84386.32,10,4206.25,52,20%,,,,
1004258,74604.13,3,2773.35,54,20%,,,,
1004259,79854.76,6,2951.38,56,20%,,,,
1004260,74253.51,10,3558.9,56,20%,,,,
1004261,75879.53,12,3213.85,50,20%,,,,
1004262,74123.73,9,2569.06,71,0%,,,,
1004263,75196.8,6,3799.7,83,20%,,,,
1004264,72453.31,6,3307.79,51,20%,,,,
1004265,76093.61,3,2834.02,57,20%,,,,
1004266,74805.81,3,3190.24,42,20%,,,,
1004267,73138.62,7,3939.56,76,20%,,,,
1004268,77266.39,9,3156.9,79,20%,,,,
1004269,70022.71,5,3204.28,49,20%,,,,
1004270,76996,5,3721.9,58,20%,,,,
1004271,80144.78,4,3183.08,49,20%,,,,
1004272,77413.76,6,3433.55,57,20%,,,,
1004273,76946.25,3,3602.65,62,20%,,,,
1004274,79530.11,10,2569.83,45,0%,,,,
1004275,76797.86,5,2166.75,59,0%,,,,
1004276,72745.44,7,3260.38,66,20%,,,,
1004277,69500.34,8,3216.94,56,20%,,,,
1004278,77474.03,6,2423.01,46,0%,,,,
1004279,71127.23,7,2878.94,43,20%,,,,
1004280,79009.92,6,3557.61,47,20%,,,,
1004281,77690.26,12,3470.78,53,20%,,,,
1004282,73905.17,10,3867.83,50,20%,,,,
1004283,73466.36,10,3090.66,38,20%,,,,
1004284,75861.64,7,2643.68,69,0%,,,,
1004285,78553.3,8,2787.21,58,20%,,,,
1004286,79081.64,11,2369.26,63,0%,,,,
1004287,72844.59,8,3465.27,55,20%,,,,
1004288,73803.72,10,3389.61,49,20%,,,,
1004289,72699.37,6,3481.35,46,20%,,,,
1004290,75367.74,6,3129.2,71,20%,,,,
1004291,74569.29,8,2991.78,45,20%,,,,
1004292,78636.31,7,2658.79,53,0%,,,,
1004293,75434.74,6,3495.13,48,20%,,,,
1004294,76061.95,16,2847.5,57,20%,,,,
1004295,71314.46,8,3544.14,49,20%,,,,
1004296,78638.58,6,3768.51,73,20%,,,,
1004297,72059.22,10,1532.71,53,0%,,,,
1004298,77481.11,1,2712.25,65,20%,,,,
1004299,67098.13,5,2733.36,84,20%,,,,
1004300,77633.48,4,2584.31,62,0%,,,,
1004301,73257.15,9,3622.52,58,20%,,,,
1004302,79805.93,6,2462.69,74,0%,,,,
1004303,0,8,0,65,0%,,,,
1004304,74376.6,4,4093.78,57,20%,,,,
1004305,79449.76,8,2146.26,74,0%,,,,
1004306,69992.22,14,3109.27,61,20%,,,,
1004307,75217.18,11,2646.7,68,0%,,,,
1004308,78424.46,8,3655.39,57,20%,,,,
1004309,81096.17,5,4725.96,62,20%,,,,
1004310,75314.19,4,3550.18,52,20%,,,,
1004311,74820.57,7,2603.44,42,0%,,,,
1004312,82409.35,9,3089.61,64,20%,,,,
1004313,73159.15,11,3710.98,54,20%,,,,
1004314,71601.21,8,3443.05,51,20%,,,,
1004315,73441.19,4,2962.77,68,20%,,,,
1004316,79168.25,4,3575.94,66,20%,,,,
1004317,78513.43,2,2997.83,71,20%,,,,
1004318,75745.09,10,3924.07,63,20%,,,,
1004319,79057.49,7,2772.66,69,20%,,,,
1004320,82140.91,9,3199.5,84,20%,,,,
1004321,74345.37,5,2975.92,53,20%,,,,
1004322,69090.36,9,3705.26,61,20%,,,,
1004323,70797.64,8,3117.58,71,20%,,,,
1004324,69460.02,4,3379.3,42,20%,,,,
1004325,74785.27,8,3438.11,70,20%,,,,
1004326,72352.96,8,3444.45,56,20%,,,,
1004327,74023.14,2,3379.75,46,20%,,,,
1004328,77325.24,7,3146.26,57,20%,,,,
1004329,73971.56,7,4076.66,51,20%,,,,
1004330,72797.39,7,3552.99,49,20%,,,,
1004331,78377,6,2812.06,49,20%,,,,
1004332,79589.49,7,2644.34,71,0%,,,,
1004333,80391.45,6,3676.39,74,20%,,,,
1004334,78033.78,10,1701.83,67,0%,,,,
1004335,79798.07,11,2828.76,46,20%,,,,
1004336,74638.25,4,3376.88,48,20%,,,,
1004337,69997.36,10,3540.74,50,20%,,,,
1004338,68397.38,9,2516.85,67,0%,,,,
1004339,76728.41,7,2973.67,59,20%,,,,
1004340,75085.63,10,3231.34,56,20%,,,,
1004341,76983.49,3,3267.43,67,20%,,,,
1004342,72833.95,6,3769.19,58,20%,,,,
1004343,71707.31,11,3648.46,71,20%,,,,
1004344,77835.7,8,2832.63,52,20%,,,,
1004345,75710.63,6,3778.77,69,20%,,,,
1004346,79439.67,7,3822.47,62,20%,,,,
1004347,77538.27,6,3382.15,58,20%,,,,
1004348,71460.78,8,3724.31,87,20%,,,,
1004349,68649.49,14,2400.49,58,0%,,,,
1004350,79870.89,7,3505.67,56,20%,,,,
1004351,77903.72,11,3392.37,62,20%,,,,
1004352,72594.74,8,3744.62,61,20%,,,,
1004353,73274.61,8,2662.71,58,0%,,,,
1004354,79084.54,10,3100.16,46,20%,,,,
1004355,76459.61,7,2412.98,50,0%,,,,
1004356,73512.51,6,3958.52,75,20%,,,,
1004357,72152.54,10,3841.45,64,20%,,,,
1004358,81472.24,10,2687.61,68,0%,,,,
1004359,80450.57,6,3111.49,29,20%,,,,
1004360,72395.45,7,4043.11,74,20%,,,,
1004361,71730.68,10,2708.49,63,20%,,,,
1004362,79624.15,13,3099.58,50,20%,,,,
1004363,74132.6,10,3677.46,39,20%,,,,
1004364,77612.98,7,3308.01,31,20%,,,,
1004365,66749.07,6,3050.49,58,20%,,,,
1004366,73111.49,2,3334.59,69,20%,,,,
1004367,75376.4,6,3638.03,63,20%,,,,
1004368,73421.94,4,3664.51,58,20%,,,,
1004369,77868.13,1,2911.32,63,20%,,,,
1004370,73089.54,4,3416.82,56,20%,,,,
1004371,79103.12,9,3850.56,48,20%,,,,
1004372,76894.98,6,3236.59,64,20%,,,,
1004373,74056.86,7,3499.04,48,20%,,,,
1004374,72127.21,7,3195.53,56,20%,,,,
1004375,75325.97,5,2998.88,48,20%,,,,
1004376,81151.47,2,2876.55,32,20%,,,,
1004377,76712.55,2,3255.53,59,20%,,,,
1004378,75371.58,4,3266.12,51,20%,,,,
1004379,77810.79,10,3441.7,59,20%,,,,
1004380,74585.74,10,3543.57,61,20%,,,,
1004381,77728.25,10,2746.33,75,20%,,,,
1004382,70668.05,7,3731.79,66,20%,,,,
1004383,72504.88,9,3726.95,43,20%,,,,
1004384,79164.76,6,3957.99,56,20%,,,,
1004385,74711,8,2639.68,59,0%,,,,
1004386,79246.56,2,3795.51,60,20%,,,,
1004387,78310.22,1,3452.68,54,20%,,,,
1004388,71465.23,10,4134.85,71,20%,,,,
1004389,74944.27,4,3850.74,64,20%,,,,
1004390,76167.99,6,2802,55,20%,,,,
1004391,79020.45,10,3106.14,46,20%,,,,
1004392,74844.71,16,2840.91,73,20%,,,,
1004393,71276.63,9,3270.71,71,20%,,,,
1004394,77020.16,4,2544,69,0%,,,,
1004395,73724.91,11,3035.75,56,20%,,,,
1004396,80594.01,9,3626.7,71,20%,,,,
1004397,74537.27,10,4159.74,34,20%,,,,
1004398,72070.71,10,3257.92,41,20%,,,,
1004399,76436.55,6,3321.04,69,20%,,,,
1004400,73304.21,5,3013.72,51,20%,,,,
1004401,73105.01,9,3626.88,90,20%,,,,
1004402,79357.06,8,3359.48,69,20%,,,,
1004403,74252.24,3,2513.88,71,0%,,,,
1004404,73459.14,9,2479.43,57,0%,,,,
1004405,75015.18,5,2259.27,59,0%,,,,
1004406,76258.26,8,3574.87,67,20%,,,,
1004407,70105.58,14,3487.28,32,20%,,,,
1004408,67862.36,4,4447.92,66,20%,,,,
1004409,74155.64,5,3463.95,58,20%,,,,
1004410,77464.86,5,3181.87,69,20%,,,,
1004411,73299.47,4,3197.97,68,20%,,,,
1004412,67304.22,14,2905.36,55,20%,,,,
1004413,73616.44,8,3129.77,52,20%,,,,
1004414,72975.62,11,2664.89,61,0%,,,,
1004415,74993.08,5,3026.79,62,20%,,,,
1004416,68205.04,10,2981.63,56,20%,,,,
1004417,75564.4,6,3077.13,53,20%,,,,
1004418,73749.36,10,2616.36,74,0%,,,,
1004419,76566.55,10,3705.24,77,20%,,,,
1004420,73317.88,9,3608.81,60,20%,,,,
1004421,77162.63,5,3455.44,49,20%,,,,
1004422,75120.75,14,2622.42,71,0%,,,,
1004423,71164.07,8,3790.84,81,20%,,,,
1004424,73696.2,6,4048.65,69,20%,,,,
1004425,76088.46,9,3240.02,70,20%,,,,
1004426,68559.13,9,3763.32,39,20%,,,,
1004427,73881.42,4,2969.98,73,20%,,,,
1004428,73927.59,6,3387.12,63,20%,,,,
1004429,69829.12,7,3428.54,68,20%,,,,
1004430,75017.87,8,3210.02,54,20%,,,,
1004431,75684.46,6,3715.25,61,20%,,,,
1004432,74429.78,13,3518.84,74,20%,,,,
1004433,69019.92,5,3090.44,47,20%,,,,
1004434,74813.15,5,3451.4,59,20%,,,,
1004435,72287.77,8,2562.08,51,0%,,,,
1004436,69265.05,9,3192.34,47,20%,,,,
1004437,77887.8,7,3906.34,39,20%,,,,
1004438,75452.41,10,3110.29,57,20%,,,,
1004439,87637.1,10,2812.76,53,20%,,,,
1004440,72234.4,8,2822.16,67,20%,,,,
1004441,74427.13,11,3761.34,73,20%,,,,
1004442,74380.17,5,2620.67,73,0%,,,,
1004443,73224.04,10,2275.99,64,0%,,,,
1004444,74499.01,5,4069.62,63,20%,,,,
1004445,69894.25,12,2456.46,77,0%,,,,
1004446,77818.27,10,3651.41,50,20%,,,,
1004447,73671.89,7,3662.71,53,20%,,,,
1004448,76551.88,8,3797.1,55,20%,,,,
1004449,75816.69,12,3580.35,63,20%,,,,
1004450,77614.91,7,3362.72,67,20%,,,,
1004451,79500.68,6,3414.15,83,20%,,,,
1004452,74723.78,9,2864.7,61,20%,,,,
1004453,74427.96,8,2781.78,56,20%,,,,
1004454,71004.15,5,3009.64,58,20%,,,,
1004455,72916.29,8,2561.04,55,0%,,,,
1004456,72358.03,9,3090.05,48,20%,,,,
1004457,77097.6,8,3477.69,78,20%,,,,
1004458,74046.65,8,3703.43,58,20%,,,,
1004459,72756.04,4,4079.36,91,20%,,,,
1004460,76609.86,12,3301.62,75,20%,,,,
1004461,71094.72,6,3044.04,73,20%,,,,
1004462,72023.43,8,2449.92,46,0%,,,,
1004463,68901.59,7,2731.78,59,20%,,,,
1004464,73011.77,8,2514.52,42,0%,,,,
1004465,78484.35,7,2889.58,67,20%,,,,
1004466,72848.69,11,1998.21,39,0%,,,,
1004467,79251.35,11,2787.75,68,20%,,,,
1004468,77440.88,4,3230.84,68,20%,,,,
1004469,80842.85,3,2379.63,64,0%,,,,
1004470,80099.36,7,4167.64,48,20%,,,,
1004471,76963.5,9,3122,72,20%,,,,
1004472,76332.22,5,2099.64,62,0%,,,,
1004473,80122.01,8,3774.56,75,20%,,,,
1004474,74549.5,2,3490.32,65,20%,,,,
1004475,71908.78,10,2511.68,72,0%,,,,
1004476,76055.99,4,3303.53,81,20%,,,,
1004477,78488.6,9,2776.97,49,20%,,,,
1004478,75835.76,7,4130.59,49,20%,,,,
1004479,75460.92,3,3054.64,62,20%,,,,
1004480,71784.8,12,3543.6,79,20%,,,,
1004481,73823.24,8,2962.1,51,20%,,,,
1004482,80082.44,4,3292.07,78,20%,,,,
1004483,77044.01,9,3055,57,20%,,,,
1004484,71105.15,7,3697.69,52,20%,,,,
1004485,67483.3,2,3293.17,48,20%,,,,
1004486,74335.81,4,3635.39,55,20%,,,,
1004487,76253.64,9,3598.73,49,20%,,,,
1004488,76448.98,6,3835.35,57,20%,,,,
1004489,78744.14,11,2337.61,112,0%,,,,
1004490,76286.72,7,3804.47,84,20%,,,,
1004491,75246.86,9,2674.22,108,0%,,,,
1004492,76621.81,11,2915.21,108,20%,,,,
1004493,78999.07,8,2858.62,87,20%,,,,
1004494,75551.54,8,3150.96,96,20%,,,,
1004495,73900.23,6,4097.02,110,20%,,,,
1004496,74434.72,13,3443.78,82,20%,,,,
1004497,68614.28,4,3375.41,80,20%,,,,
1004498,81722.52,9,3365.84,103,20%,,,,
1004499,74025.36,6,3972.79,120,20%,,,,
1004500,69706.19,5,4018.78,104,20%,,,,
1004501,104253.95,11,5221.32,94,30%,,,,
1004502,94940.94,9,5789.72,104,30%,,,,
1004503,87661.67,13,6119.74,96,30%,,,,
1004504,100247.61,12,4638.01,97,20%,,,,
1004505,101771.21,13,5883.54,80,30%,,,,
1004506,106444.49,12,5852.68,126,30%,,,,
1004507,103227.79,14,6046.11,74,30%,,,,
1004508,101226.74,12,5858.58,84,30%,,,,
1004509,94471.77,13,6718.23,79,30%,,,,
1004510,88473.82,17,5798.51,73,30%,,,,
1004511,106474.91,11,5802.34,96,30%,,,,
1004512,91562.64,9,6103.17,111,30%,,,,
1004513,90817.3,12,5465.21,100,30%,,,,
1004514,100040.16,14,5268.68,130,30%,,,,
1004515,105868.36,13,6756.69,83,30%,,,,
1004516,106273.25,10,5660.26,104,30%,,,,
1004517,110235.27,6,5292.53,102,30%,,,,
1004518,100903.85,10,6534.51,99,30%,,,,
1004519,96295.67,10,4823.68,108,30%,,,,
1004520,98786.65,7,5546.92,111,30%,,,,
1004521,95861.87,16,5014.46,110,30%,,,,
1004522,105024.8,11,6354.73,113,30%,,,,
1004523,110622.25,9,5753.56,110,30%,,,,
1004524,91782.04,11,5593.2,81,30%,,,,
1004525,104892.32,12,7282.92,121,40%,,,,
1004526,105270.74,10,5852.2,97,30%,,,,
1004527,96551.11,11,6335.87,95,30%,,,,
1004528,100563.53,19,4618.48,121,20%,,,,
1004529,95029.17,13,5880.25,110,30%,,,,
1004530,101828.97,11,7008.56,90,40%,,,,
1004531,115078.88,13,6080.8,71,30%,,,,
1004532,106094.49,16,4166,137,20%,,,,
1004533,109356.46,15,5115.22,112,30%,,,,
1004534,92928.56,11,7093.19,97,40%,,,,
1004535,103492.2,16,6040.82,87,30%,,,,
1004536,98855.12,17,5376.9,122,30%,,,,
1004537,94703.29,11,6581.04,97,30%,,,,
1004538,98358.79,14,6281.27,128,30%,,,,
1004539,110936.32,9,7294.37,49,40%,,,,
1004540,92755.4,8,5175.36,115,30%,,,,
1004541,93864.14,11,4669.45,93,20%,,,,
1004542,107496.47,10,4429.34,79,20%,,,,
1004543,95229.64,12,5747.98,112,30%,,,,
1004544,100734.3,15,7252.03,80,40%,,,,
1004545,89498.2,11,5828.87,115,30%,,,,
1004546,101288.11,12,5996.38,107,30%,,,,
1004547,106146.8,10,6867.45,114,40%,,,,
1004548,103731.42,14,5120.39,135,30%,,,,
1004549,97533.02,14,8143.28,114,40%,,,,
1004550,89475.02,15,6053.23,102,30%,,,,
1004551,93592.56,11,6200.18,108,30%,,,,
1004552,102479.29,12,6102.71,90,30%,,,,
1004553,95365.22,14,5988.69,133,30%,,,,
1004554,105704.75,15,5702.11,82,30%,,,,
1004555,89618.57,11,4755.52,107,20%,,,,
1004556,102340.2,14,6658.38,136,30%,,,,
1004557,105412.09,13,6138.02,96,30%,,,,
1004558,101661.32,13,5626.73,102,30%,,,,
1004559,98171.19,11,6792.82,101,30%,,,,
1004560,96811.55,12,5534.93,106,30%,,,,
1004561,90581.31,19,6674.45,99,30%,,,,
1004562,100750.72,16,5866.47,89,30%,,,,
1004563,107284.67,11,4781.07,130,20%,,,,
1004564,100194.76,12,6650.3,101,30%,,,,
1004565,91127.36,12,6165.49,98,30%,,,,
1004566,96467,18,6474.52,73,30%,,,,
1004567,109357.97,8,5267.49,109,30%,,,,
1004568,98050.54,14,6055.04,110,30%,,,,
1004569,95507.44,11,6461.07,114,30%,,,,
1004570,112698.55,12,5393.26,87,30%,,,,
1004571,107214.98,14,4569.45,83,20%,,,,
1004572,108090.16,10,6300.72,101,30%,,,,
1004573,111160.5,12,6335.78,94,30%,,,,
1004574,100178.52,14,4469.02,119,20%,,,,
1004575,101469.6,11,6239.41,82,30%,,,,
1004576,97587.33,17,6426.78,91,30%,,,,
1004577,95998.7,13,6144.63,108,30%,,,,
1004578,96800.52,16,5936.4,81,30%,,,,
1004579,102552.63,11,6664.89,90,30%,,,,
1004580,99082.17,10,7590.67,92,40%,,,,
1004581,100098.51,18,5273.86,108,30%,,,,
1004582,102920.6,12,6073.28,91,30%,,,,
1004583,116904.77,9,5531.4,73,30%,,,,
1004584,99437.03,13,5417.41,101,30%,,,,
1004585,92442.96,13,6253.69,101,30%,,,,
1004586,100610.94,16,7297.09,82,40%,,,,
1004587,99683.51,14,5889.06,122,30%,,,,
1004588,95588.48,14,5428.63,103,30%,,,,
1004589,97801.05,16,5352.13,125,30%,,,,
1004590,98325.23,12,5533.39,99,30%,,,,
1004591,116712.91,13,5283.48,102,30%,,,,
1004592,110790.16,10,5841.17,90,30%,,,,
1004593,107077.58,17,4982.24,89,30%,,,,
1004594,107955.86,11,6515.7,74,30%,,,,
1004595,86614.38,8,6080.04,87,30%,,,,
1004596,95724.86,8,6913.01,76,40%,,,,
1004597,109765.02,16,7352.12,86,40%,,,,
1004598,98253.17,16,6464.1,137,30%,,,,
1004599,97325.02,12,7353.82,91,40%,,,,
1004600,110860.29,10,5044.39,119,30%,,,,
1004601,93688.44,14,5257.74,113,30%,,,,
1004602,111678.54,15,6843.08,93,40%,,,,
1004603,101423.18,16,4975.45,109,30%,,,,
1004604,103576.19,14,5791.6,94,30%,,,,
1004605,101866.43,17,5932.82,108,30%,,,,
1004606,99274.06,12,6905.21,105,40%,,,,
1004607,104102.23,13,5857.53,93,30%,,,,
1004608,102208.61,11,5000.81,101,30%,,,,
1004609,91014.2,14,7014.81,101,40%,,,,
1004610,106899.58,15,5869.6,75,30%,,,,
1004611,97991.67,9,5396.18,85,30%,,,,
1004612,104218.33,9,6293.68,114,30%,,,,
1004613,91300.16,11,5324.27,105,30%,,,,
1004614,104153.4,7,5425.93,108,30%,,,,
1004615,114767.81,17,5659.64,89,30%,,,,
1004616,109477.85,14,6350.57,100,30%,,,,
1004617,84732.54,10,5084.45,111,30%,,,,
1004618,91910.89,14,5382.93,128,30%,,,,
1004619,106578.24,17,5550.82,107,30%,,,,
1004620,100143.14,11,7286.55,108,40%,,,,
1004621,98827.59,10,4747.16,104,20%,,,,
1004622,92292.02,14,6066.95,113,30%,,,,
1004623,98433,15,6262.16,110,30%,,,,
1004624,99636.49,13,5096.45,88,30%,,,,
1004625,96805.99,18,5272.83,120,30%,,,,
1004626,98792.91,14,5757.36,99,30%,,,,
1004627,97331.34,16,6590.68,101,30%,,,,
1004628,102063.79,15,5364.12,85,30%,,,,
1004629,96785.83,11,5831.52,98,30%,,,,
1004630,91797.19,11,6843.59,78,40%,,,,
1004631,94631.22,18,6081.41,73,30%,,,,
1004632,94225.64,16,5303.7,100,30%,,,,
1004633,100993.66,16,7079.79,95,40%,,,,
1004634,110454.44,7,5108.64,115,30%,,,,
1004635,108323.15,17,6692.72,105,30%,,,,
1004636,103005.79,9,5418.55,114,30%,,,,
1004637,95989.53,18,6039.38,98,30%,,,,
1004638,96947.77,9,5710.02,80,30%,,,,
1004639,102226.15,7,4868.57,137,30%,,,,
1004640,104535.66,7,6353.15,93,30%,,,,
1004641,92235.59,18,5904.61,119,30%,,,,
1004642,95013.26,14,6483.91,100,30%,,,,
1004643,102211.21,14,5864.31,126,30%,,,,
1004644,106006.69,14,5051.73,95,30%,,,,
1004645,103021.91,12,6340.05,107,30%,,,,
1004646,103249.14,14,5316.46,103,30%,,,,
1004647,103262.8,13,6456.54,110,30%,,,,
1004648,96043.88,10,7277.97,89,40%,,,,
1004649,99585.67,13,6161.72,96,30%,,,,
1004650,109364.14,11,6772.78,67,30%,,,,
1004651,107209.73,16,6487.48,107,30%,,,,
1004652,100105.34,11,5851.05,87,30%,,,,
1004653,100763.75,7,7199.82,76,40%,,,,
1004654,102300.6,11,6467.12,99,30%,,,,
1004655,103859.82,14,5505.8,112,30%,,,,
1004656,86862.04,13,6846.45,85,40%,,,,
1004657,110160.62,14,6216.18,99,30%,,,,
1004658,97452.98,18,5522.37,78,30%,,,,
1004659,89599.08,11,5487.98,87,30%,,,,
1004660,95755.25,14,5369.83,95,30%,,,,
1004661,93063.46,14,4974.09,82,30%,,,,
1004662,107615.02,8,6349.03,107,30%,,,,
1004663,110608.98,13,5959.71,85,30%,,,,
1004664,106822.26,5,6533.31,85,30%,,,,
1004665,106164.3,10,6338.59,87,30%,,,,
1004666,90166.91,12,4462.89,76,20%,,,,
1004667,95911.72,9,5148.34,90,30%,,,,
1004668,91661.69,19,7134.38,109,40%,,,,
1004669,98522.9,11,7674.33,98,40%,,,,
1004670,91268.73,15,5600.49,90,30%,,,,
1004671,105965.08,10,7164.98,118,40%,,,,
1004672,103390.22,9,6399.55,125,30%,,,,
1004673,103902.16,11,6281.11,105,30%,,,,
1004674,94949.74,11,6437.41,95,30%,,,,
1004675,101381.06,13,5489.16,68,30%,,,,
1004676,87688.56,19,6351.69,75,30%,,,,
1004677,96226.23,12,5559.93,98,30%,,,,
1004678,94863,14,5551.94,116,30%,,,,
1004679,112312.48,15,5575.66,97,30%,,,,
1004680,95893.14,14,6329.39,85,30%,,,,
1004681,102599.35,12,6359.57,122,30%,,,,
1004682,100478.35,14,5124.54,106,30%,,,,
1004683,104397.94,13,7164.64,93,40%,,,,
1004684,97909.07,12,5845.32,100,30%,,,,
1004685,110562.45,11,7155.87,105,40%,,,,
1004686,92817.23,11,6783.29,120,30%,,,,
1004687,98049.53,12,5317.26,123,30%,,,,
1004688,101512.35,9,5618.12,75,30%,,,,
1004689,101123.29,11,6798.6,107,40%,,,,
1004690,94034.05,14,6786.67,73,30%,,,,
1004691,85846.51,14,5611.28,116,30%,,,,
1004692,99311.25,12,5714.15,115,30%,,,,
1004693,105938.87,7,5446.48,63,30%,,,,
1004694,95611.39,16,4824.03,83,30%,,,,
1004695,98408.68,11,5801.79,80,30%,,,,
1004696,94772.76,14,5302.89,110,30%,,,,
